"Month","Lenex corporation: shipment of can openers Jan?67-Dec?71"
"1967-01",103
"1967-02",113
"1967-03",105
"1967-04",99
"1967-05",102
"1967-06",93
"1967-07",77
"1967-08",89
"1967-09",101
"1967-10",95
"1967-11",107
"1967-12",111
"1968-01",100
"1968-02",116
"1968-03",101
"1968-04",112
"1968-05",102
"1968-06",96
"1968-07",91
"1968-08",94
"1968-09",104
"1968-10",120
"1968-11",110
"1968-12",114
"1969-01",114
"1969-02",124
"1969-03",115
"1969-04",111
"1969-05",120
"1969-06",132
"1969-07",116
"1969-08",126
"1969-09",139
"1969-10",125
"1969-11",147
"1969-12",144
"1970-01",149
"1970-02",150
"1970-03",130
"1970-04",135
"1970-05",138
"1970-06",149
"1970-07",119
"1970-08",120
"1970-09",148
"1970-10",143
"1970-11",146
"1970-12",149
"1971-01",146
"1971-02",148
"1971-03",122
"1971-04",139
"1971-05",131
"1971-06",140
"1971-07",110
"1971-08",118
"1971-09",110
"1971-10",112
"1971-11",122
"1971-12",115

Lenex corporation: shipment of can openers Jan?67-Dec?71

